"","alpha0","alpha1","alpha2","alpha3","beta1","beta2","beta3","gamma","AIC"
"1",1.178,1.327,1.332,0.736,0.796,0.415,0.249,4.836,-717.838
"2",0.957,0.155,0.161,0.162,9.828,6.094,3.429,6.648,-804.636
"3",0.249,1.201,1.153,0.946,1.999,1.49,1.31,6.412,-822.131
"4",0.067,0.119,0.111,0.09,19.683,16.286,15.236,6.789,-1410.667
